,State,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity,literacy_rate,Male_literacy_rate,Female_literacy_rate,sex_ratio,Longitude,Latitude
0,Andhra Pradesh,3639337.947368421,1824077.7368421052,1815260.2105263157,2152712.0,1203840.0,948872.0,619166.7368421053,308282.4736842105,310884.2631578947,248364.8947368421,124734.21052631579,123630.68421052632,1721157.0526315789,1040728.8947368421,680428.1578947369,1450790.2631578948,270366.7894736842,1918180.894736842,288911.2105263158,782739.7894736842,64209.36842105263,585296.6842105263,3222579.1052631577,349267.2631578947,45192.47368421053,1517.6842105263158,1760.8947368421052,2349.2631578947367,381.10526315789474,16290.157894736842,305981.84210526315,830938.5263157894,18107.63157894737,66714.47368421052,775968.7368421053,319648.5263157895,1095617.2631578948,418636.4210526316,565856.8421052631,490722.4210526316,388270.15789473685,223782.26315789475,198665.52631578947,28491.736842105263,2314425.3684210526,1198603.5263157894,3513028.8947368423,1970828.8421052631,990154.2105263158,648246.7368421053,30108.157894736843,310118.84210526315,19571.36842105263,74072.63157894737,156210.73684210525,36517.47368421053,489379.36842105264,27369.21052631579,518183.5263157895,559317.8947368421,33421.05263157895,34424.26315789474,630070.2105263158,590881.6842105263,431431.63157894736,723074.3684210526,163549.0,154534.42105263157,985.2105263157895,47638.10526315789,9611.736842105263,7160.210526315789,8933.526315789473,312217.94736842107,448738.84210526315,57131.78947368421,192422.0,1934.1052631578948,2910.0526315789475,19125.105263157893,26598.842105263157,338804.05263157893,380013.36842105264,2629.5789473684213,622613.1052631579,60657.57894736842,46101.84210526316,124962.31578947368,171064.15789473685,153856.8947368421,593077.5789473684,277627.36842105264,161593.31578947368,123748.57894736843,15209.315789473685,184282.2105263158,682177.5263157894,86482.8947368421,10104.526315789473,11667.052631578947,1304.1052631578948,258.42105263157896,122772.15789473684,888.3684210526316,2005.9473684210527,1418.1052631578948,3424.0526315789475,205.31578947368422,122.3157894736842,327.63157894736844,149.73684210526315,213.26315789473685,363.0,259.5263157894737,5262.631578947368,58.473684210526315,65.6842105263158,51.473684210526315,997.1052631578947,79.91620298244129,16.554124203986422
1,Arunachal Pradesh,96754.0,49856.5,46897.5,53684.21428571428,30766.5,22917.714285714286,0.0,0.0,0.0,66404.92857142857,32666.571428571428,33738.357142857145,40971.5,24415.785714285714,16555.714285714286,33352.28571428572,7619.214285714285,55782.5,21079.785714285714,2563.1428571428573,586.6428571428571,16741.928571428572,27546.214285714286,1877.0714285714287,29874.14285714286,214.78571428571428,11574.642857142857,54.07142857142857,25153.5,459.57142857142856,5383.142857142857,12057.0,363.14285714285717,1490.142857142857,18747.571428571428,7415.071428571428,26162.64285714286,11392.92857142857,14222.642857142857,12440.357142857143,8782.57142857143,6366.214285714285,4245.714285714285,419.85714285714283,57870.28571428572,30760.214285714286,88630.5,63265.21428571428,23642.928571428572,9742.357142857143,103.5,3635.0,1468.142857142857,4050.4285714285716,2574.6428571428573,534.0714285714286,7314.642857142857,673.0,7556.142857142857,8879.5,1030.7857142857142,589.1428571428571,17390.5,7811.071428571428,11400.357142857143,12428.785714285714,4172.5,2470.8571428571427,9.714285714285714,3445.8571428571427,884.2142857142857,130.5,1841.2142857142858,10443.42857142857,6264.0,809.0,2440.3571428571427,1051.2142857142858,1087.7857142857142,579.6428571428571,2880.714285714286,6801.142857142857,7513.571428571428,162.07142857142858,11871.42857142857,449.92857142857144,1040.7857142857142,1489.9285714285713,2530.714285714286,2159.785714285714,8220.142857142857,3041.8571428571427,3018.5,6062.285714285715,1441.357142857143,3939.785714285714,13189.857142857143,1825.0,275.35714285714283,341.14285714285717,50.214285714285715,15.571428571428571,2898.5,54.285714285714285,165.57142857142858,87.42857142857143,253.0,33.142857142857146,23.857142857142858,57.0,8.142857142857142,8.714285714285714,16.857142857142858,9.142857142857142,390.2857142857143,54.857142857142854,60.857142857142854,48.0,933.2142857142857,94.54532681056138,27.725765415186213
2,Assam,1232415.7894736843,629449.1578947369,602966.6315789474,760921.052631579,419685.6842105263,341235.36842105264,92028.94736842105,47247.68421052631,44781.26315789474,141483.7894736842,71450.36842105263,70033.42105263157,470598.2105263158,335558.3157894737,135039.8947368421,339487.05263157893,131111.15789473685,761817.5789473684,165075.7894736842,69758.21052631579,20046.473684210527,215717.73684210525,758381.1578947369,422198.2105263158,45190.57894736842,792.578947368421,2383.7368421052633,724.4736842105264,848.2631578947369,1896.7894736842106,43709.10526315789,90534.21052631579,3093.0,21420.526315789473,302558.6842105263,49345.84210526316,351904.5263157895,151740.63157894736,259683.2105263158,257818.94736842104,106307.26315789473,67742.57894736843,36953.52631578947,5760.421052631579,886006.5789473684,365248.94736842107,1251255.5263157894,754521.5789473684,314010.4736842105,163260.05263157896,623.6842105263158,140529.52631578947,7989.8421052631575,53926.78947368421,24110.473684210527,5161.0,105918.8947368421,4960.473684210527,65902.94736842105,116426.21052631579,5346.315789473684,27043.157894736843,198474.57894736843,105162.84210526316,167513.0,220772.7894736842,14898.052631578947,46504.94736842105,853.6842105263158,94266.21052631579,4490.473684210527,2160.157894736842,22278.473684210527,143829.31578947368,76899.68421052632,44446.78947368421,146184.47368421053,2914.5789473684213,8879.947368421053,4293.684210526316,30084.21052631579,70560.42105263157,131066.05263157895,13996.0,25296.263157894737,23236.36842105263,7441.263157894737,18912.157894736843,26353.42105263158,36162.63157894737,139492.94736842104,54720.68421052631,48609.63157894737,68644.73684210527,14501.052631578947,47365.68421052631,184415.26315789475,27758.0,4747.368421052632,5808.684210526316,857.421052631579,203.89473684210526,31010.21052631579,52.0,161.0,70.0,231.0,28.0,21.0,49.0,6.0,6.0,12.0,4.0,348.0,62.0,67.0,56.473684210526315,957.6842105263158,92.65731035572504,26.321340891915742
3,Bihar,2850635.3243243243,1486273.5945945946,1364361.7297297297,1451399.0,871723.1621621621,579675.8378378379,448548.4054054054,232916.48648648648,215631.9189189189,38415.35135135135,19632.216216216217,18783.135135135137,960879.7027027027,694435.2162162162,266444.4864864865,604333.0810810811,356546.6216216216,1889755.6216216215,204771.54054054053,495377.9459459459,38043.32432432433,222686.8918918919,2338751.243243243,489863.35135135136,3876.7837837837837,772.0540540540541,8824.756756756757,1343.027027027027,347.2432432432432,6856.864864864865,47513.18918918919,98184.05405405405,5034.216216216216,37321.64864864865,562314.972972973,83876.1081081081,646191.0810810811,580340.1351351351,462053.5135135135,281604.24324324325,212813.24324324325,129071.24324324324,94627.32432432432,10177.351351351352,1770687.054054054,1254640.5945945946,3025327.6486486485,1828609.972972973,631064.6216216217,380084.7837837838,10875.945945945947,250168.1081081081,9422.243243243243,131917.43243243243,46869.08108108108,12216.0,271043.8918918919,5990.0,83646.62162162163,292540.7297297297,9280.837837837838,37999.45945945946,424313.7837837838,204260.8918918919,125912.83783783784,501563.2972972973,14342.45945945946,136376.0,6076.027027027027,13745.702702702703,2654.837837837838,1293.7027027027027,11895.378378378378,317748.97297297296,390040.8108108108,21944.08108108108,452793.4324324324,189.59459459459458,813.5945945945946,7260.783783783784,8967.783783783783,196928.48648648648,261987.62162162163,703.8108108108108,34689.21621621621,16564.35135135135,11381.216216216217,49364.78378378379,60746.0,55605.51351351351,232710.75675675675,82936.43243243243,94168.81081081081,173765.56756756757,54787.54054054054,63093.75675675676,371900.75675675675,77732.78378378379,21188.45945945946,30147.216216216217,6318.027027027027,2640.7297297297296,42229.10810810811,640.7837837837837,1036.6486486486488,533.8108108108108,1570.4594594594594,174.32432432432432,33.32432432432432,207.64864864864865,45.37837837837838,65.0,110.37837837837837,55.891891891891895,2585.324324324324,50.62162162162162,58.37837837837838,42.108108108108105,918.2972972972973,85.6367740131486,25.771393543753963
4,Chandigarh,1055450.0,580663.0,474787.0,805438.0,465346.0,340092.0,199086.0,106356.0,92730.0,0.0,0.0,0.0,404136.0,328159.0,75977.0,385929.0,18207.0,651314.0,2578.0,1687.0,4799.0,395072.0,852574.0,51447.0,8720.0,138329.0,1160.0,1960.0,246.0,1014.0,168344.0,231204.0,44283.0,78113.0,8911.0,289456.0,298367.0,80406.0,118667.0,114209.0,124707.0,98786.0,174528.0,20188.0,731491.0,184265.0,915756.0,602411.0,303748.0,148945.0,346.0,135055.0,60494.0,65936.0,109701.0,14027.0,148411.0,67323.0,193932.0,209783.0,47345.0,8256.0,226263.0,210801.0,206017.0,112043.0,110377.0,7208.0,263.0,1178.0,196.0,164.0,542.0,24260.0,7578.0,45.0,6167.0,36.0,12.0,1120.0,1372.0,27384.0,202495.0,204.0,227354.0,2001.0,15220.0,24396.0,39616.0,36024.0,144460.0,64040.0,44396.0,43001.0,7984.0,5182.0,162464.0,24076.0,4872.0,5667.0,676.0,119.0,42854.0,893.0,3631.0,7152.0,10783.0,4285.0,2444.0,6729.0,3382.0,4461.0,7843.0,7897.0,34145.0,76.0,80.0,72.0,818.0,76.75872466,30.7426
5,Chhattisgarh,1761873.7692307692,887932.8461538461,873940.9230769231,1105733.6153846155,627484.2307692308,478249.3846153846,213403.15384615384,107179.23076923077,106223.92307692308,480147.07692307694,238447.38461538462,241699.6923076923,809752.5384615385,491285.07692307694,318467.46153846156,557531.3846153846,252221.15384615384,952121.2307692308,236738.15384615384,318975.3076923077,13917.76923076923,240121.3076923077,1626360.3846153845,52657.692307692305,37455.92307692308,5646.692307692308,12196.615384615385,4706.153846153846,20892.23076923077,1958.076923076923,69353.92307692308,301338.8461538461,7825.2307692307695,25227.23076923077,358831.23076923075,137912.92307692306,496744.1538461539,253165.07692307694,282265.07692307694,235751.76923076922,153009.53846153847,116878.92307692308,87472.15384615384,12043.615384615385,1140586.1538461538,558582.8461538461,1699169.0,1032079.1538461539,456880.6923076923,270593.3076923077,2320.6153846153848,218914.38461538462,12468.923076923076,46944.692307692305,69853.84615384616,12524.307692307691,120628.92307692308,14529.76923076923,143444.15384615384,148098.92307692306,14945.692307692309,14215.76923076923,371441.1538461539,120948.53846153847,122720.69230769231,343773.6153846154,34102.38461538462,22517.923076923078,396.0,17594.153846153848,883.3076923076923,532.3076923076923,7458.153846153846,269853.1538461539,253420.38461538462,44381.230769230766,218472.84615384616,2652.153846153846,3382.846153846154,2393.230769230769,9503.846153846154,196382.38461538462,98102.61538461539,1075.6153846153845,114192.69230769231,29158.53846153846,21448.23076923077,49524.38461538462,70972.61538461539,54806.53846153846,213246.46153846153,82905.92307692308,75534.0,90834.23076923077,15748.384615384615,96316.69230769231,282069.8461538461,47433.92307692308,8829.538461538461,10831.538461538461,1590.1538461538462,411.84615384615387,50466.38461538462,375.0,795.0769230769231,675.6153846153846,1470.6923076923076,154.0,93.0,247.0,102.76923076923077,140.46153846153845,243.23076923076923,133.23076923076923,2469.153846153846,62.53846153846154,70.46153846153847,54.53846153846154,988.0,82.12509333594427,21.555738582984045
6,Daman and Diu,1467127.5,764507.5,702620.0,996583.0,575648.5,420934.5,135027.5,69271.5,65756.0,35405.5,18082.5,17323.0,614615.0,448180.5,166434.5,522213.0,92402.0,852512.5,184578.0,167238.5,5027.0,257771.5,1284296.5,175472.5,2602.0,639.5,753.5,2042.5,78.0,1243.0,85202.5,273787.5,3972.0,15767.0,249621.5,174289.5,423911.0,140359.5,364176.0,162608.5,169420.0,75837.5,74542.5,16061.0,1003005.0,344831.5,1347836.5,825238.5,401012.0,238539.0,2338.0,102121.0,10305.0,35402.0,104882.0,8504.5,201996.5,9403.0,173693.5,224874.5,14373.5,4342.0,235517.5,192686.0,177340.5,236063.5,45306.0,20839.0,94.5,38961.0,436.0,313.5,4919.0,95497.0,103356.0,18990.5,57579.5,25.0,169.0,11323.0,12494.0,68102.0,177475.0,977.0,185666.5,29629.5,9440.0,25457.0,34897.0,32945.5,153628.5,62493.0,58190.0,78859.0,20798.5,42606.0,191217.5,48055.5,11609.5,14402.0,2168.5,624.0,34508.0,656.0,2545.5,4334.0,6879.5,2334.0,1440.5,3774.5,1873.0,2528.0,4401.0,4135.5,19847.0,73.0,79.5,64.0,743.5,72.41121190648654,20.494569789560284
7,Goa,729272.5,369570.0,359702.5,582743.5,307911.5,274832.0,12724.5,6313.5,6411.0,74637.5,36474.0,38163.5,288624.0,209768.0,78856.0,238026.5,50597.5,440648.5,15677.0,13380.0,7354.0,252213.0,481938.5,60782.0,183065.0,736.5,547.5,554.5,129.0,1519.5,117401.5,156380.5,20532.0,50282.5,102239.5,186051.5,288291.0,35421.0,87280.0,134330.5,131438.0,76149.5,72120.5,13090.0,549829.5,94057.5,643887.0,347703.0,227702.5,152820.0,1047.0,39756.0,39686.5,50253.5,91907.0,19504.0,86766.5,35882.5,130921.0,143840.0,37569.5,2457.0,155566.5,144555.5,128669.0,127266.0,28095.5,13246.5,88.5,7088.5,1909.0,333.5,5239.5,16851.0,26501.5,11482.5,553.0,1985.5,537.5,2017.5,5103.0,24977.5,128672.0,562.5,137847.0,427.5,8490.5,18171.5,26662.0,29935.5,102367.5,43655.5,28776.5,25859.0,6518.0,7757.0,109811.0,16171.0,3394.0,4156.5,623.5,139.0,31268.0,104.5,369.0,425.5,794.5,136.5,162.5,299.0,157.5,184.0,341.5,322.5,1862.0,79.5,83.0,76.5,974.5,73.8660162584672,15.39350404299338
8,Gujarat,2396066.0,1250850.875,1145215.125,1649839.625,941951.2916666666,707888.3333333334,167701.45833333334,86896.33333333333,80805.125,277375.1666666667,140505.25,136869.91666666666,971571.7083333334,717041.0,254530.70833333334,811433.3333333334,160138.375,1424494.2916666667,206381.75,256084.66666666666,13562.708333333334,495542.5833333333,2115118.9583333335,239920.79166666666,10555.875,2396.4166666666665,1197.7916666666667,23937.291666666668,664.9166666666666,2273.9583333333335,192150.33333333334,442905.2916666667,15762.0,44018.583333333336,365719.625,339656.9166666667,705376.5416666666,265348.5416666667,581722.5833333334,238779.91666666666,295928.9583333333,139413.58333333334,137973.25,25094.791666666668,1684261.625,535453.2083333334,2219714.8333333335,1356093.9166666667,649546.1666666666,380915.0416666667,9510.875,171811.83333333334,30521.791666666668,96467.08333333333,169866.45833333334,16451.0,288777.875,31593.958333333332,269031.5,340499.125,35270.25,7448.416666666667,413942.375,334234.0833333333,287211.7083333333,405692.625,68082.54166666667,50946.25,250.08333333333334,22172.041666666668,1328.5,1028.1666666666667,4012.875,152271.29166666666,188100.54166666666,19339.125,96582.83333333333,367.625,1487.375,10093.291666666666,13001.833333333334,109830.91666666667,320706.0416666667,1053.5416666666667,347118.5833333333,47849.5,18055.0,44968.708333333336,63023.708333333336,59700.958333333336,265098.75,108742.125,96655.66666666667,129353.70833333333,29029.208333333332,55968.416666666664,321739.4166666667,87073.41666666667,19264.958333333332,22484.208333333332,2694.4583333333335,524.7916666666666,55208.333333333336,318.1666666666667,1139.4583333333333,1445.5833333333333,2585.0416666666665,435.1666666666667,468.5416666666667,903.7083333333334,334.375,534.6666666666666,869.0416666666666,519.5,5195.25,67.54166666666667,74.25,60.25,933.0,72.19574738883901,22.37440584958047
9,Haryana,1209134.4117647058,643591.6470588235,565542.7647058824,806677.7647058824,473015.4117647059,333662.35294117645,250503.70588235295,132615.0588235294,117888.64705882352,0.0,0.0,0.0,435562.8823529412,329829.5294117647,105733.35294117648,344610.9411764706,90951.94117647059,773571.5294117647,122423.41176470589,72775.64705882352,12777.64705882353,227586.17647058822,1102815.4117647058,30968.235294117647,2537.3529411764707,67661.76470588235,362.11764705882354,2509.235294117647,139.35294117647058,2140.9411764705883,104632.05882352941,210048.5294117647,13279.411764705883,31757.70588235294,210151.5294117647,133381.23529411765,343532.76470588235,119859.29411764706,167134.29411764705,145500.9411764706,158154.58823529413,105860.4705882353,95650.94117647059,15922.70588235294,808083.2352941176,315109.23529411765,1123192.4705882352,704803.2941176471,312607.9411764706,190036.23529411765,1686.9411764705883,102361.70588235294,25652.41176470588,42316.35294117647,77100.5294117647,10334.176470588236,154394.58823529413,21960.764705882353,160099.29411764705,183968.23529411765,19239.470588235294,9598.764705882353,210834.82352941178,192236.35294117648,164366.0588235294,200929.41176470587,23121.0,30406.529411764706,141.94117647058823,43948.82352941176,1747.8235294117646,1453.235294117647,7536.058823529412,36899.117647058825,60981.41176470588,4404.058823529412,54340.58823529412,75.3529411764706,785.3529411764706,4199.294117647059,6937.705882352941,48286.64705882353,155612.9411764706,1877.7058823529412,161831.17647058822,29959.470588235294,5309.764705882353,14338.941176470587,19648.70588235294,24966.58823529412,130812.5294117647,55163.529411764706,50682.41176470588,63162.0,15512.235294117647,25235.882352941175,150018.9411764706,41954.82352941176,11492.0,13787.058823529413,1895.5882352941176,399.47058823529414,23374.647058823528,103.70588235294117,511.3529411764706,558.4117647058823,1069.764705882353,390.52941176470586,268.47058823529414,659.0,233.23529411764707,370.05882352941177,603.2941176470588,214.52941176470588,2650.823529411765,66.70588235294117,73.70588235294117,59.23529411764706,879.7058823529412,76.52123742961845,29.19561627638388
10,Himachal Pradesh,815457.8461538461,416184.3076923077,399273.53846153844,559057.6923076923,313868.6153846154,245189.07692307694,193939.0,98972.0,94967.0,66566.30769230769,33215.46153846154,33350.846153846156,398998.3846153846,235123.38461538462,163875.0,243404.15384615384,155594.23076923078,416459.46153846156,189064.61538461538,71400.53846153847,7698.923076923077,130834.30769230769,774761.0,23003.76923076923,2614.846153846154,6648.461538461538,4780.0,323.0769230769231,2326.923076923077,999.7692307692307,51185.53846153846,153753.6923076923,3914.923076923077,12693.461538461539,261606.92307692306,43425.07692307692,305032.0,91278.76923076923,135244.0,117484.38461538461,111972.23076923077,75792.23076923077,47476.846153846156,6854.461538461538,586102.9230769231,206259.46153846153,792362.3846153846,455323.23076923075,216248.46153846153,142736.84615384616,1149.3076923076924,44961.38461538462,10686.23076923077,40260.307692307695,25992.0,9506.615384615385,91661.07692307692,6212.692307692308,102732.0,117319.84615384616,16152.153846153846,4345.538461538462,159710.92307692306,104318.07692307692,96564.07692307692,157439.6923076923,14877.076923076924,16714.0,70.46153846153847,11813.076923076924,424.3076923076923,294.38461538461536,3785.6153846153848,72246.46153846153,77668.84615384616,7404.384615384615,46595.46153846154,859.3846153846154,628.3846153846154,2339.923076923077,4480.923076923077,72538.23076923077,77640.46153846153,653.2307692307693,115985.0,3958.846153846154,9833.76923076923,17929.923076923078,27763.69230769231,23000.384615384617,97245.76923076923,40122.0,34123.38461538462,42814.692307692305,8740.384615384615,26385.846153846152,118812.15384615384,25853.846153846152,5119.2307692307695,6104.692307692308,817.1538461538462,168.30769230769232,25793.846153846152,202.3846153846154,465.7692307692308,368.0769230769231,833.8461538461538,126.07692307692308,73.92307692307692,200.0,79.38461538461539,114.23076923076923,193.6153846153846,136.6153846153846,1566.076923076923,70.6923076923077,77.23076923076923,64.0,951.0,76.85561813540754,31.649468875492705
11,Jammu and Kashmir,690777.5,365528.375,325249.125,432284.75,254535.5,177749.25,89154.5,46670.75,42483.75,68500.5,35414.875,33085.625,239188.875,184136.0,55052.875,164506.375,74682.5,451588.625,55702.125,20233.5,6872.0,156381.25,325661.625,338015.875,2722.875,20206.125,2643.75,275.0,78.25,1174.0,53662.875,107218.375,5211.125,13132.625,128927.25,78753.625,207680.875,62594.25,89422.5,106435.875,95441.75,60128.125,46375.5,10162.375,470560.375,189058.875,659619.25,400720.25,182995.5,106254.125,807.625,17727.875,12335.25,48284.625,24260.875,5453.125,72123.375,7690.25,73366.375,89002.0,11425.5,3704.125,102210.5,73085.375,60218.875,112757.25,4093.75,13076.75,169.125,2998.125,8414.625,5552.625,4534.875,45391.25,56587.25,5721.125,21912.125,6269.125,2137.875,3086.25,12055.0,28040.5,69861.375,561.75,77419.875,2012.25,2206.625,7008.625,9215.25,12863.5,65698.625,26102.0,26733.125,34707.125,8855.625,20574.75,85105.625,16421.25,3604.875,4339.125,611.5,122.75,12610.625,203.5,417.25,252.25,669.5,116.75,150.5,267.25,119.75,98.75,218.5,122.25,1481.5,59.625,68.125,50.25,884.25,75.00063061643166,33.651699000229414
12,Jharkhand,1423219.9411764706,731820.5294117647,691399.4117647059,776190.9411764706,463042.5294117647,313148.4117647059,189302.23529411765,97256.23529411765,92046.0,346218.70588235295,173018.76470588235,173199.9411764706,567766.4705882353,362338.76470588235,205427.70588235295,286621.8823529412,281144.5882352941,855453.4705882353,162307.29411764705,204875.64705882352,20999.0,179584.5294117647,986908.2941176471,232816.4705882353,66510.58823529411,1376.4705882352941,415.94117647058823,578.7647058823529,131529.0,3084.4117647058824,26640.470588235294,104096.82352941176,3341.0,17396.41176470588,249576.82352941178,78880.94117647059,328457.76470588235,211193.35294117648,246396.0588235294,188455.88235294117,114703.11764705883,68904.11764705883,46919.64705882353,6460.882352941177,883033.0588235294,543654.4117647059,1426687.4705882352,893920.0588235294,329641.5294117647,193111.5294117647,6546.823529411765,153186.76470588235,6517.470588235294,46679.529411764706,38624.17647058824,4854.64705882353,114381.70588235294,6433.176470588235,65682.58823529411,123637.35294117648,4401.0,12481.29411764706,247988.29411764705,63143.23529411765,53114.294117647056,239739.88235294117,16775.941176470587,24900.70588235294,1608.2941176470588,3752.176470588235,725.1176470588235,352.47058823529414,2689.8823529411766,201497.35294117648,209049.64705882352,92795.05882352941,128474.11764705883,1843.4705882352941,3783.3529411764707,1839.1176470588234,7877.64705882353,121864.5294117647,57170.05882352941,411.70588235294116,30755.29411764706,8002.411764705882,6554.0,21357.764705882353,27911.764705882353,29092.647058823528,128112.76470588235,47345.82352941176,51674.294117647056,86354.5294117647,22261.529411764706,85606.0,181885.0,43652.82352941176,10227.70588235294,13352.058823529413,2433.9411764705883,690.4117647058823,25750.70588235294,329.5882352941176,579.9411764705883,311.1764705882353,891.1176470588235,121.3529411764706,18.0,139.35294117647058,25.11764705882353,40.94117647058823,66.05882352941177,56.470588235294116,1482.8235294117646,52.64705882352941,61.294117647058826,43.76470588235294,953.9411764705883,85.85996246441698,23.76750554674568
